scraped_at,platform,city,zone,zone_type,address_id,address,product,restaurant,available,product_price_mxn,delivery_fee_mxn,service_fee_mxn,discount_mxn,eta_min_minutes,eta_max_minutes,final_total_mxn,evidence_url,notes
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Big Mac,McDonald's,True,97.83,26.57,7.83,9.78,31.0,41.0,122.45,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Combo mediano,McDonald's,True,169.02,28.68,13.52,0.0,33.0,45.0,211.22,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Nuggets 10 piezas,McDonald's,True,122.9,48.23,9.83,12.29,33.0,41.0,168.67,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Coca-Cola 500ml,Retail benchmark,True,37.02,50.82,2.96,0.0,23.0,33.0,90.8,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Polanco,premium,MXCDMX-003,"Av. Presidente Masaryk 320, Polanco, CDMX",Agua 1L,Retail benchmark,True,30.55,28.43,2.44,1.53,23.0,31.0,59.89,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Big Mac,McDonald's,False,,,,,,,,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Combo mediano,McDonald's,True,152.41,33.21,12.19,0.0,39.0,51.0,197.81,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Nuggets 10 piezas,McDonald's,True,118.17,40.0,9.45,5.91,32.0,40.0,161.71,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Coca-Cola 500ml,Retail benchmark,True,35.09,53.6,2.81,0.0,40.0,50.0,91.5,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Santa Fe,corporativa,MXCDMX-004,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",Agua 1L,Retail benchmark,True,31.72,46.97,2.54,0.0,24.0,34.0,81.23,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Big Mac,McDonald's,True,85.78,34.69,6.86,0.0,37.0,52.0,127.33,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Combo mediano,McDonald's,True,151.1,47.67,12.09,0.0,18.0,28.0,210.86,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Nuggets 10 piezas,McDonald's,True,107.68,21.69,8.61,5.38,26.0,41.0,132.6,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Coca-Cola 500ml,Retail benchmark,True,33.42,30.17,2.67,0.0,20.0,32.0,66.26,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Coyoacan,residencial,MXCDMX-005,"Miguel Angel de Quevedo 687, Coyoacan, CDMX",Agua 1L,Retail benchmark,True,29.58,28.04,2.37,0.0,32.0,44.0,59.99,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Narvarte,residencial,MXCDMX-006,"Av. Universidad 740, Narvarte, CDMX",Big Mac,McDonald's,True,92.28,34.2,7.38,9.23,31.0,46.0,124.63,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Narvarte,residencial,MXCDMX-006,"Av. Universidad 740, Narvarte, CDMX",Combo mediano,McDonald's,True,142.74,40.7,11.42,0.0,39.0,47.0,194.86,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Narvarte,residencial,MXCDMX-006,"Av. Universidad 740, Narvarte, CDMX",Nuggets 10 piezas,McDonald's,True,107.03,45.49,8.56,10.7,30.0,38.0,150.38,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Narvarte,residencial,MXCDMX-006,"Av. Universidad 740, Narvarte, CDMX",Coca-Cola 500ml,Retail benchmark,True,33.66,23.37,2.69,0.0,37.0,49.0,59.72,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Narvarte,residencial,MXCDMX-006,"Av. Universidad 740, Narvarte, CDMX",Agua 1L,Retail benchmark,True,29.38,39.29,2.35,2.94,39.0,54.0,68.08,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Iztapalapa,periferica,MXCDMX-007,"Av. Ermita Iztapalapa 1800, Iztapalapa, CDMX",Big Mac,McDonald's,True,81.61,27.94,6.53,4.08,28.0,43.0,112.0,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Iztapalapa,periferica,MXCDMX-007,"Av. Ermita Iztapalapa 1800, Iztapalapa, CDMX",Combo mediano,McDonald's,True,142.28,30.78,11.38,0.0,32.0,40.0,184.44,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Iztapalapa,periferica,MXCDMX-007,"Av. Ermita Iztapalapa 1800, Iztapalapa, CDMX",Nuggets 10 piezas,McDonald's,True,100.86,37.67,8.07,10.09,20.0,28.0,136.51,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Iztapalapa,periferica,MXCDMX-007,"Av. Ermita Iztapalapa 1800, Iztapalapa, CDMX",Coca-Cola 500ml,Retail benchmark,True,29.16,18.69,2.33,0.0,26.0,41.0,50.18,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Iztapalapa,periferica,MXCDMX-007,"Av. Ermita Iztapalapa 1800, Iztapalapa, CDMX",Agua 1L,Retail benchmark,True,26.47,24.65,2.12,2.65,26.0,38.0,50.59,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Lindavista,residencial,MXCDMX-008,"Av. Montevideo 303, Lindavista, CDMX",Big Mac,McDonald's,True,93.27,42.16,7.46,4.66,31.0,41.0,138.23,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Lindavista,residencial,MXCDMX-008,"Av. Montevideo 303, Lindavista, CDMX",Combo mediano,McDonald's,True,149.64,35.27,11.97,0.0,34.0,49.0,196.88,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Lindavista,residencial,MXCDMX-008,"Av. Montevideo 303, Lindavista, CDMX",Nuggets 10 piezas,McDonald's,True,104.83,28.97,8.39,5.24,34.0,46.0,136.95,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Lindavista,residencial,MXCDMX-008,"Av. Montevideo 303, Lindavista, CDMX",Coca-Cola 500ml,Retail benchmark,True,31.9,37.37,2.55,1.59,28.0,40.0,70.23,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Lindavista,residencial,MXCDMX-008,"Av. Montevideo 303, Lindavista, CDMX",Agua 1L,Retail benchmark,True,28.15,29.37,2.25,0.0,20.0,30.0,59.77,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Tlalpan,periferica,MXCDMX-009,"Calz. de Tlalpan 4500, Tlalpan, CDMX",Big Mac,McDonald's,True,81.65,20.53,6.53,0.0,24.0,32.0,108.71,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Tlalpan,periferica,MXCDMX-009,"Calz. de Tlalpan 4500, Tlalpan, CDMX",Combo mediano,McDonald's,True,134.96,38.85,10.8,6.75,27.0,37.0,177.86,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Tlalpan,periferica,MXCDMX-009,"Calz. de Tlalpan 4500, Tlalpan, CDMX",Nuggets 10 piezas,McDonald's,True,100.18,43.98,8.01,0.0,37.0,49.0,152.17,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Tlalpan,periferica,MXCDMX-009,"Calz. de Tlalpan 4500, Tlalpan, CDMX",Coca-Cola 500ml,Retail benchmark,True,30.43,38.0,2.43,0.0,31.0,41.0,70.86,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Tlalpan,periferica,MXCDMX-009,"Calz. de Tlalpan 4500, Tlalpan, CDMX",Agua 1L,Retail benchmark,True,27.36,42.99,2.19,0.0,21.0,33.0,72.54,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Centro Historico,turistica,MXCDMX-010,"5 de Mayo 49, Centro Historico, CDMX",Big Mac,McDonald's,True,94.84,51.97,7.59,4.74,39.0,54.0,149.66,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Centro Historico,turistica,MXCDMX-010,"5 de Mayo 49, Centro Historico, CDMX",Combo mediano,McDonald's,True,160.98,41.13,12.88,0.0,35.0,47.0,214.99,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Centro Historico,turistica,MXCDMX-010,"5 de Mayo 49, Centro Historico, CDMX",Nuggets 10 piezas,McDonald's,True,116.19,23.58,9.3,0.0,29.0,37.0,149.07,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Centro Historico,turistica,MXCDMX-010,"5 de Mayo 49, Centro Historico, CDMX",Coca-Cola 500ml,Retail benchmark,True,32.77,52.14,2.62,1.64,30.0,42.0,85.89,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Ciudad de Mexico,Centro Historico,turistica,MXCDMX-010,"5 de Mayo 49, Centro Historico, CDMX",Agua 1L,Retail benchmark,True,29.64,36.48,2.37,1.48,31.0,46.0,67.01,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Providencia,premium,MXGDL-001,"Av. Americas 1254, Providencia, Guadalajara",Big Mac,McDonald's,True,101.94,53.98,8.16,5.1,38.0,46.0,158.98,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Providencia,premium,MXGDL-001,"Av. Americas 1254, Providencia, Guadalajara",Combo mediano,McDonald's,True,159.72,46.61,12.78,7.99,41.0,49.0,211.12,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Providencia,premium,MXGDL-001,"Av. Americas 1254, Providencia, Guadalajara",Nuggets 10 piezas,McDonald's,True,118.4,44.77,9.47,0.0,28.0,40.0,172.64,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Providencia,premium,MXGDL-001,"Av. Americas 1254, Providencia, Guadalajara",Coca-Cola 500ml,Retail benchmark,True,34.57,50.66,2.77,1.73,26.0,41.0,86.27,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Providencia,premium,MXGDL-001,"Av. Americas 1254, Providencia, Guadalajara",Agua 1L,Retail benchmark,True,31.77,42.31,2.54,0.0,22.0,30.0,76.62,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Chapalita,residencial,MXGDL-002,"Av. Guadalupe 1450, Chapalita, Guadalajara",Big Mac,McDonald's,True,86.62,36.92,6.93,4.33,30.0,42.0,126.14,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Chapalita,residencial,MXGDL-002,"Av. Guadalupe 1450, Chapalita, Guadalajara",Combo mediano,McDonald's,True,142.93,46.16,11.43,7.15,41.0,53.0,193.37,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Chapalita,residencial,MXGDL-002,"Av. Guadalupe 1450, Chapalita, Guadalajara",Nuggets 10 piezas,McDonald's,True,108.33,23.17,8.67,0.0,21.0,31.0,140.17,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Chapalita,residencial,MXGDL-002,"Av. Guadalupe 1450, Chapalita, Guadalajara",Coca-Cola 500ml,Retail benchmark,True,33.04,51.19,2.64,3.3,26.0,41.0,83.57,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Chapalita,residencial,MXGDL-002,"Av. Guadalupe 1450, Chapalita, Guadalajara",Agua 1L,Retail benchmark,False,,,,,,,,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Centro,alta demanda,MXGDL-003,"Av. Juarez 211, Centro, Guadalajara",Big Mac,McDonald's,True,89.88,47.72,7.19,8.99,22.0,32.0,135.8,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Centro,alta demanda,MXGDL-003,"Av. Juarez 211, Centro, Guadalajara",Combo mediano,McDonald's,True,146.86,45.87,11.75,14.69,18.0,28.0,189.79,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Centro,alta demanda,MXGDL-003,"Av. Juarez 211, Centro, Guadalajara",Nuggets 10 piezas,McDonald's,True,113.84,46.67,9.11,0.0,33.0,41.0,169.62,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Centro,alta demanda,MXGDL-003,"Av. Juarez 211, Centro, Guadalajara",Coca-Cola 500ml,Retail benchmark,True,32.82,46.33,2.63,3.28,25.0,35.0,78.5,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Guadalajara,Centro,alta demanda,MXGDL-003,"Av. Juarez 211, Centro, Guadalajara",Agua 1L,Retail benchmark,True,28.05,34.07,2.24,0.0,35.0,50.0,64.36,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,San Pedro,premium,MXMTY-001,"Calzada del Valle 400, San Pedro Garza Garcia",Big Mac,McDonald's,True,104.4,55.92,8.35,5.22,38.0,46.0,163.45,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,San Pedro,premium,MXMTY-001,"Calzada del Valle 400, San Pedro Garza Garcia",Combo mediano,McDonald's,True,165.65,34.53,13.25,16.57,30.0,40.0,196.86,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,San Pedro,premium,MXMTY-001,"Calzada del Valle 400, San Pedro Garza Garcia",Nuggets 10 piezas,McDonald's,True,119.93,25.7,9.59,11.99,26.0,38.0,143.23,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,San Pedro,premium,MXMTY-001,"Calzada del Valle 400, San Pedro Garza Garcia",Coca-Cola 500ml,Retail benchmark,True,37.3,52.44,2.98,3.73,32.0,40.0,88.99,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,San Pedro,premium,MXMTY-001,"Calzada del Valle 400, San Pedro Garza Garcia",Agua 1L,Retail benchmark,True,32.17,46.94,2.57,0.0,22.0,34.0,81.68,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Tecnologico,universitaria,MXMTY-002,"Av. Eugenio Garza Sada 2501, Monterrey",Big Mac,McDonald's,True,86.94,36.5,6.96,8.69,33.0,45.0,121.71,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Tecnologico,universitaria,MXMTY-002,"Av. Eugenio Garza Sada 2501, Monterrey",Combo mediano,McDonald's,True,133.92,28.76,10.71,13.39,29.0,41.0,160.0,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Tecnologico,universitaria,MXMTY-002,"Av. Eugenio Garza Sada 2501, Monterrey",Nuggets 10 piezas,McDonald's,True,109.29,26.23,8.74,10.93,27.0,35.0,133.33,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Tecnologico,universitaria,MXMTY-002,"Av. Eugenio Garza Sada 2501, Monterrey",Coca-Cola 500ml,Retail benchmark,True,30.44,29.22,2.44,1.52,36.0,44.0,60.58,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Tecnologico,universitaria,MXMTY-002,"Av. Eugenio Garza Sada 2501, Monterrey",Agua 1L,Retail benchmark,True,26.11,34.52,2.09,1.31,26.0,36.0,61.41,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Centro,alta demanda,MXMTY-003,"Padre Mier 201, Centro, Monterrey",Big Mac,McDonald's,True,95.1,42.68,7.61,0.0,36.0,48.0,145.39,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Centro,alta demanda,MXMTY-003,"Padre Mier 201, Centro, Monterrey",Combo mediano,McDonald's,True,144.79,42.66,11.58,7.24,24.0,34.0,191.79,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Centro,alta demanda,MXMTY-003,"Padre Mier 201, Centro, Monterrey",Nuggets 10 piezas,McDonald's,True,114.32,24.74,9.15,5.72,25.0,40.0,142.49,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Centro,alta demanda,MXMTY-003,"Padre Mier 201, Centro, Monterrey",Coca-Cola 500ml,Retail benchmark,True,33.98,22.85,2.72,3.4,27.0,39.0,56.15,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Monterrey,Centro,alta demanda,MXMTY-003,"Padre Mier 201, Centro, Monterrey",Agua 1L,Retail benchmark,True,29.62,47.69,2.37,2.96,41.0,49.0,76.72,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Angelopolis,premium,MXPUE-001,"Blvd. del Nino Poblano 2510, Puebla",Big Mac,McDonald's,True,100.84,26.3,8.07,0.0,36.0,48.0,135.21,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Angelopolis,premium,MXPUE-001,"Blvd. del Nino Poblano 2510, Puebla",Combo mediano,McDonald's,True,164.24,51.93,13.14,0.0,40.0,50.0,229.31,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Angelopolis,premium,MXPUE-001,"Blvd. del Nino Poblano 2510, Puebla",Nuggets 10 piezas,McDonald's,True,128.0,55.54,10.24,6.4,19.0,31.0,187.38,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Angelopolis,premium,MXPUE-001,"Blvd. del Nino Poblano 2510, Puebla",Coca-Cola 500ml,Retail benchmark,True,37.97,35.38,3.04,0.0,25.0,33.0,76.39,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Angelopolis,premium,MXPUE-001,"Blvd. del Nino Poblano 2510, Puebla",Agua 1L,Retail benchmark,True,32.14,50.49,2.57,0.0,18.0,33.0,85.2,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Centro,alta demanda,MXPUE-002,"Av. Reforma 113, Centro, Puebla",Big Mac,McDonald's,False,,,,,,,,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Centro,alta demanda,MXPUE-002,"Av. Reforma 113, Centro, Puebla",Combo mediano,McDonald's,True,158.15,38.15,12.65,7.91,18.0,28.0,201.04,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Centro,alta demanda,MXPUE-002,"Av. Reforma 113, Centro, Puebla",Nuggets 10 piezas,McDonald's,True,117.46,21.62,9.4,11.75,25.0,33.0,136.73,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Centro,alta demanda,MXPUE-002,"Av. Reforma 113, Centro, Puebla",Coca-Cola 500ml,Retail benchmark,True,33.08,33.37,2.65,1.65,39.0,54.0,67.45,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Puebla,Centro,alta demanda,MXPUE-002,"Av. Reforma 113, Centro, Puebla",Agua 1L,Retail benchmark,True,28.23,43.12,2.26,1.41,40.0,52.0,72.2,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Juriquilla,residencial,MXQRO-001,"Blvd. Universitario 1000, Juriquilla, Queretaro",Big Mac,McDonald's,True,86.65,21.84,6.93,0.0,39.0,54.0,115.42,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Juriquilla,residencial,MXQRO-001,"Blvd. Universitario 1000, Juriquilla, Queretaro",Combo mediano,McDonald's,True,150.95,50.79,12.08,7.55,34.0,42.0,206.27,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Juriquilla,residencial,MXQRO-001,"Blvd. Universitario 1000, Juriquilla, Queretaro",Nuggets 10 piezas,McDonald's,True,107.8,29.16,8.62,0.0,35.0,45.0,145.58,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Juriquilla,residencial,MXQRO-001,"Blvd. Universitario 1000, Juriquilla, Queretaro",Coca-Cola 500ml,Retail benchmark,True,32.35,23.37,2.59,0.0,37.0,47.0,58.31,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Juriquilla,residencial,MXQRO-001,"Blvd. Universitario 1000, Juriquilla, Queretaro",Agua 1L,Retail benchmark,True,26.95,37.39,2.16,1.35,29.0,39.0,65.15,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Centro Sur,corporativa,MXQRO-002,"Blvd. Bernardo Quintana 7001, Queretaro",Big Mac,McDonald's,True,95.18,29.56,7.61,9.52,27.0,42.0,122.83,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Centro Sur,corporativa,MXQRO-002,"Blvd. Bernardo Quintana 7001, Queretaro",Combo mediano,McDonald's,True,151.27,36.38,12.1,7.56,29.0,41.0,192.19,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Centro Sur,corporativa,MXQRO-002,"Blvd. Bernardo Quintana 7001, Queretaro",Nuggets 10 piezas,McDonald's,True,116.69,46.13,9.34,11.67,41.0,53.0,160.49,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Centro Sur,corporativa,MXQRO-002,"Blvd. Bernardo Quintana 7001, Queretaro",Coca-Cola 500ml,Retail benchmark,True,33.63,33.96,2.69,3.36,20.0,30.0,66.92,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Rappi,Queretaro,Centro Sur,corporativa,MXQRO-002,"Blvd. Bernardo Quintana 7001, Queretaro",Agua 1L,Retail benchmark,True,29.84,29.67,2.39,0.0,19.0,34.0,61.9,,reproducible_seed_dataset
2026-05-04T21:50:03.401267+00:00,Uber Eats,Ciudad de Mexico,Roma Norte,alta demanda,MXCDMX-001,"Av. Alvaro Obregon 120, Roma Norte, CDMX",Big Mac,McDonald's,True,97.69,34.96,9.77,0.0,34.0,42.0,142.42,,reproducible_seed_dataset
